extension	class_name	object_type	schema_name	object_name	object_identity
pg_trgm	pg_opclass	operator class	public	gin_trgm_ops	public.gin_trgm_ops USING gin
pg_trgm	pg_opclass	operator class	public	gist_trgm_ops	public.gist_trgm_ops USING gist
pg_trgm	pg_operator	operator	public	[NULL]	public.%(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.%>(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.%>>(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.<%(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.<->(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.<->>(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.<->>>(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.<<%(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.<<->(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_operator	operator	public	[NULL]	public.<<<->(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_opfamily	operator family	public	gin_trgm_ops	public.gin_trgm_ops USING gin
pg_trgm	pg_opfamily	operator family	public	gist_trgm_ops	public.gist_trgm_ops USING gist
pg_trgm	pg_proc	function	public	[NULL]	public.gin_extract_query_trgm(pg_catalog.text,pg_catalog.internal,smallint,pg_catalog.internal,pg_catalog.internal,pg_catalog.internal,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gin_extract_value_trgm(pg_catalog.text,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gin_trgm_consistent(pg_catalog.internal,smallint,pg_catalog.text,integer,pg_catalog.internal,pg_catalog.internal,pg_catalog.internal,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gin_trgm_triconsistent(pg_catalog.internal,smallint,pg_catalog.text,integer,pg_catalog.internal,pg_catalog.internal,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_compress(pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_consistent(pg_catalog.internal,pg_catalog.text,smallint,pg_catalog.oid,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_decompress(pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_distance(pg_catalog.internal,pg_catalog.text,smallint,pg_catalog.oid,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_in(pg_catalog.cstring)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_options(pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_out(public.gtrgm)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_penalty(pg_catalog.internal,pg_catalog.internal,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_picksplit(pg_catalog.internal,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_same(public.gtrgm,public.gtrgm,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.gtrgm_union(pg_catalog.internal,pg_catalog.internal)
pg_trgm	pg_proc	function	public	[NULL]	public.set_limit(real)
pg_trgm	pg_proc	function	public	[NULL]	public.show_limit()
pg_trgm	pg_proc	function	public	[NULL]	public.show_trgm(pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.similarity_dist(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.similarity_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.similarity(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.strict_word_similarity_commutator_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.strict_word_similarity_dist_commutator_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.strict_word_similarity_dist_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.strict_word_similarity_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.strict_word_similarity(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.word_similarity_commutator_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.word_similarity_dist_commutator_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.word_similarity_dist_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.word_similarity_op(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_proc	function	public	[NULL]	public.word_similarity(pg_catalog.text,pg_catalog.text)
pg_trgm	pg_type	type	public	gtrgm	public.gtrgm
pgcrypto	pg_proc	function	public	[NULL]	public.armor(pg_catalog.bytea)
pgcrypto	pg_proc	function	public	[NULL]	public.armor(pg_catalog.bytea,pg_catalog.text[],pg_catalog.text[])
pgcrypto	pg_proc	function	public	[NULL]	public.crypt(pg_catalog.text,pg_catalog.text)
